,0,1,2,3,4,5,6,7,8,9,10,11
0,3.8068318,0.1588773,0.020079395,-1.4912553,-0.49267012,-0.141532,-0.39036798,0.91706395,0.58502924,-0.17778149,0.13547426,0.036478702
1,-0.67558986,0.16849105,-0.43396345,0.049811434,-0.8165534,0.7795293,0.23230971,-0.119342715,-1.3036323,-0.2508183,0.090179,0.12949656
2,0.15201189,0.3808925,0.91828805,-0.34009916,-0.7818869,-0.10759846,0.63435215,-0.4846099,0.0941607,0.40206897,-0.8127971,-0.18044361
3,1.4922382,-0.52577466,-0.19824162,-0.11689089,0.2641757,0.30291557,0.24428302,-0.6799796,0.112394415,0.48229972,0.31389862,-0.04677353
4,1.4922382,-0.52577466,-0.19824162,-0.11689089,0.2641757,0.30291557,0.24428302,-0.6799796,0.112394415,0.48229972,0.31389862,-0.04677353
5,0.15201189,0.3808925,0.91828805,-0.34009916,-0.7818869,-0.10759846,0.63435215,-0.4846099,0.0941607,0.40206897,-0.8127971,-0.18044361
6,0.10407943,0.0046258145,-1.1083345,-0.9594535,0.014604997,0.48834634,-0.76973665,-0.05627799,-0.38869518,-0.13738686,-0.031391673,0.045094643
7,3.8068318,0.1588773,0.020079395,-1.4912553,-0.49267012,-0.141532,-0.39036798,0.91706395,0.58502924,-0.17778149,0.13547426,0.036478702
8,-0.67558986,0.16849105,-0.43396345,0.049811434,-0.8165534,0.7795293,0.23230971,-0.119342715,-1.3036323,-0.2508183,0.090179,0.12949656
9,-0.48198447,-0.2966138,1.3790197,0.3596965,-0.38318834,-0.21874447,0.59193623,-0.8610202,-0.26347473,0.48851854,-0.06875123,0.28337628
10,-2.0723655,-0.09149856,2.6540642,-0.14762871,-0.059902284,-0.48137885,-0.5766353,0.35352975,-0.124838956,-0.032764234,-0.3055544,0.033918485
11,0.01849149,0.4758025,1.8257855,-0.25073764,-0.97360504,-0.3929546,-0.25319046,-0.7677163,-0.7373621,0.13411762,-0.37568238,-0.16770275
12,-1.4992442,0.1670846,1.5914303,0.6305409,-1.0108093,-0.20979014,-0.8150022,-0.36723122,-0.29131386,0.0816864,-0.4775172,-0.13727652
13,-1.3862966,-1.4004343,-0.794701,2.0411153,-0.5378211,-0.48274952,1.0165617,-0.6034741,0.6475288,0.7983979,-0.012962272,0.039928988
14,3.6210217,1.0385681,1.7335894,-0.03421395,-0.089539915,-1.7636678,0.37347087,1.8460798,-0.19000652,-0.27092877,-0.365458,-0.1265947
15,-1.4440159,-0.9821882,0.3994481,0.89667743,-0.65355974,-0.055210494,-0.19371574,-0.10227998,-0.0034773266,-0.1742699,0.13433634,0.06930292
16,-1.441113,0.37976217,-1.6181419,-1.7560387,0.8971461,0.75578237,-0.28389663,-0.7908132,-0.7326859,-0.24579503,-0.8664078,0.062083367
17,-0.9034322,-0.42656723,1.1273217,0.36340192,0.5264372,-0.57074314,0.26320174,0.12069069,-1.3301536,0.11339768,0.68109274,0.022545554
18,0.29790178,0.18461601,-1.212501,-0.8435517,-0.1330317,0.21624325,-0.8889816,-0.3031169,-0.25092438,0.016237965,-0.27275783,0.025219517
19,-2.9763532,-0.3359708,-0.14836983,-0.26584873,1.2807428,-0.7730114,2.5307822,1.4944285,-0.41014996,-0.57112783,-1.0881392,-0.0404173
20,-1.5035087,-0.8130838,0.49289402,-0.6603381,-0.08913806,0.653746,0.7019584,0.2631048,-0.2908949,-0.35234925,0.098546095,-0.082499444
21,-0.69938034,-0.39856932,-0.5493413,1.1480695,-0.6992482,0.10464553,1.1736277,-0.67813295,-0.110859215,0.07538928,-0.60754234,-0.045255784
22,-0.17054683,1.7838085,-0.3553232,-1.2166104,2.5016572,0.16069378,-0.28363937,-0.1865627,-2.1118555,0.22208536,-0.6174885,-0.08912973
23,-0.5303023,0.105515994,-0.40881333,0.53987235,-1.2203237,0.51009893,0.98022217,-0.31116122,-1.1392074,0.25780976,0.13010861,0.4017058
24,1.9184504,-0.9013322,-0.90312636,0.7197591,0.72225004,-0.6359776,0.18868913,-0.55438095,-0.20333306,0.6422637,0.8241011,-0.056815293
25,-0.537364,-0.38035646,-0.6904515,0.77468824,-0.6194608,0.4238201,0.8925481,-1.1404015,-0.5561703,0.32633835,-0.19406514,-0.1357332
26,0.49057963,0.15219586,-0.45064414,0.4370205,-0.92915714,-0.3424444,0.6156208,0.23403639,-0.068901114,0.5913112,-0.21436474,0.053941853
27,-1.2976656,-0.4716373,1.4263926,0.6513282,-0.104181536,-0.040544763,0.68766236,0.13688946,-0.63844514,0.30656,0.33247828,0.010126398
28,-1.5295538,-0.39490345,0.9247054,1.1889589,0.83053815,-1.1476184,-0.82529306,0.5693374,0.01364754,-0.19009104,-0.31067652,0.04360658
29,1.1886841,0.6364154,1.1720266,-0.39059708,-1.1244165,-0.73037034,-0.033943493,-0.17987008,-0.36741,0.8943505,-0.05353406,-0.06803048
30,-1.7936394,0.30048227,0.9297161,-0.30117777,-2.4483624,0.330407,0.5978107,-1.5129714,-0.15296562,0.89559025,-0.86843026,-0.21534203
31,-1.0111389,-0.35776985,0.8661466,0.06292907,-0.06454677,0.35575715,0.22053543,-0.54868054,0.057746157,0.069973074,-0.4002455,-0.07868112
32,0.8905225,-0.5389607,-1.9804871,-1.2539837,-0.9588491,0.25215024,0.23548876,0.6349125,-0.05451884,0.96319234,0.86726177,-0.33954605
33,-1.7802808,-0.48380452,1.3233823,0.6276703,0.62361944,0.5724946,0.90150315,0.4019542,0.2089276,1.2124125,0.32358244,0.10771169
34,-0.3527148,-0.12133103,-0.83239776,-1.1035211,0.3858783,0.6101937,0.46128517,-0.17966972,-0.73052967,0.239244,0.10275202,-0.18305327
35,-1.0548413,-1.0188539,0.46335036,-0.5557264,1.2464645,0.70389915,0.84595984,-0.6741142,-0.016813986,0.11952141,0.087468654,-0.07761931
36,3.1716552,0.21131988,-0.20568556,-1.1618333,-1.0850989,0.33774945,0.61180544,0.079528436,0.67632365,0.25060958,-0.32717216,-0.25120318
37,3.1716552,0.21131988,-0.20568556,-1.1618333,-1.0850989,0.33774945,0.61180544,0.079528436,0.67632365,0.25060958,-0.32717216,-0.25120318
38,1.3672456,0.49323785,0.22391386,1.4719907,1.8241622,3.6203525,0.657435,-0.71358365,0.8119521,0.83573836,-0.4428001,0.0712671
39,1.4012692,0.48992047,0.24602304,1.3256756,1.8921671,3.6749313,0.7361324,-0.6718276,0.8521868,0.8440984,-0.45132113,0.0474093
40,0.71480256,0.32489532,-0.10366866,-0.5527444,0.30118656,0.658993,-0.32236406,-0.03967887,-0.4703483,0.50297415,0.21325703,0.032053877
41,-0.13822626,-0.046915416,-0.4376767,0.62892693,-0.026937623,0.67838854,-0.65257424,-0.6861455,-0.80407226,-0.17717527,0.042115886,0.017733054
42,-0.12710963,-0.0026392094,-0.4757655,0.68331563,-0.0677957,0.69795233,-0.65954125,-0.80245143,-0.7819798,-0.008986245,0.042231698,-0.022957696
43,0.15432052,-0.37379375,0.4409215,0.7933828,0.23652428,0.42249843,-0.569113,-1.11559,-0.48013294,0.22224806,0.26215762,-0.0074295043
44,0.9451079,-0.12326248,-1.832273,0.7142689,1.7751756,0.043289933,0.37373692,-0.34913686,-0.5907991,-0.19497244,-0.26264766,-0.0155453365
45,0.92841876,-0.056651622,-1.7997077,0.6480593,1.9046869,0.11779566,0.30106837,-0.29675108,-0.63115263,-0.16097993,-0.2360053,-0.027103601
46,0.71480256,0.32489532,-0.10366866,-0.5527444,0.30118656,0.658993,-0.32236406,-0.03967887,-0.4703483,0.50297415,0.21325703,0.032053877
47,0.36938545,-0.048424274,-0.41630712,0.6517634,-0.8688968,0.707531,0.326483,-0.61599267,-0.25441414,0.57871175,0.036641467,-0.01461239
48,-0.9348659,-0.8507084,-0.09433267,0.87533617,0.09477718,0.21676819,0.46565452,-0.84967774,-0.14162499,1.321833,0.63593537,-0.026468216
49,-1.1973954,-0.20555916,-0.56313413,1.3129064,0.13453807,0.4340334,-0.17999952,-0.37062484,0.018315898,0.39752832,-0.3702268,-0.121308774
50,-1.8973131,-0.6569652,-0.036152575,0.5062807,-1.0023767,1.153762,0.022656936,-0.20278253,0.14941706,0.0750522,-0.11692851,-0.09145849
51,-1.2893815,-1.3060994,-0.14815438,0.30076993,-0.33817473,0.8567136,0.68807924,-0.83281165,0.4135776,-0.14240651,-0.12723212,-0.03842581
52,-0.59807783,-1.0119466,0.44699302,0.696201,0.7105461,-0.084517956,-0.21288347,-0.33086982,-0.9456261,0.07425343,0.94046205,-0.19633529
