,0,1,2,3,4,5,6,7,8,9,10
0,1.9816817,0.8698664,0.24889576,-0.005917132,0.6954465,-0.70709866,-1.0730152,-0.63320476,1.9258189,0.46817213,0.57269496
1,-0.32356402,0.14963223,-0.5369098,-0.00021467358,0.45386806,-0.18662867,-0.31770563,-0.31118673,-0.58078337,-0.6536426,-0.5161381
2,0.4793634,-0.9360206,-0.6916722,0.033547997,0.23029956,0.24645922,0.06486845,-0.03517127,0.63013023,-0.08187122,-0.3709603
3,0.826277,-0.46967587,-0.8307461,-0.6334985,-0.19526747,0.29114184,-0.70416063,-0.12717643,-0.2539044,0.14486897,-0.11689926
4,0.826277,-0.46967587,-0.8307461,-0.6334985,-0.19526747,0.29114184,-0.70416063,-0.12717643,-0.2539044,0.14486897,-0.11689926
5,0.4793634,-0.9360206,-0.6916722,0.033547997,0.23029956,0.24645922,0.06486845,-0.03517127,0.63013023,-0.08187122,-0.3709603
6,0.36465433,0.2940385,-0.09520215,-0.7962493,-0.46290624,-0.7456665,-0.17366563,-0.26518416,-0.029658902,-0.52948976,-0.08060482
7,1.9816817,0.8698664,0.24889576,-0.005917132,0.6954465,-0.70709866,-1.0730152,-0.63320476,1.9258189,0.46817213,0.57269496
8,-0.32356402,0.14963223,-0.5369098,-0.00021467358,0.45386806,-0.18662867,-0.31770563,-0.31118673,-0.58078337,-0.6536426,-0.5161381
9,-0.16688839,-1.1370931,-0.7748506,0.31876,-0.010617331,1.0012034,-0.047007192,0.3788519,-0.03445992,0.35943556,-0.22578256
10,-0.63411546,-1.2363205,0.74682206,0.8984924,-0.09643787,1.0066195,1.9433193,0.8388777,1.5711256,0.0333333,0.6089894
11,-0.20047796,-0.933511,-0.10370915,0.6915109,0.7920085,0.6495478,0.14942361,-0.21918157,1.26012,-0.11539392,0.0645729
12,-0.9558573,-0.59804803,-0.054490507,0.88661504,0.5745057,0.44861048,1.0146763,0.28684676,0.16580817,0.111130014,-0.08060482
13,-0.46065408,-0.4281816,-1.9128294,0.4813859,-0.49202752,0.2653597,-0.8920952,1.022888,-3.0158284,0.78771627,-1.3872044
14,0.8961563,0.8625068,1.9205546,2.1473126,2.3412316,0.5484929,-0.9685346,-0.21918157,3.4226933,0.056826323,0.6452838
15,-0.58655363,-0.26489133,-0.68933755,0.74407035,0.006471306,-0.14633942,0.27470332,0.5628622,-1.269836,0.3200274,-0.33466586
16,0.16604847,-0.62027633,-0.053740323,-1.8011246,-1.4490972,-1.1155102,0.46846306,-0.26518416,-0.1267214,-1.6429515,-0.29837143
17,-0.5473825,-0.77339125,0.46447116,0.816306,0.14339381,1.3789654,-0.0062209964,0.51685965,0.7604166,-0.43580335,0.13716179
18,0.2947071,0.35186517,-0.15953407,-0.73909193,-0.3784306,-0.79616237,-0.41332573,-0.31118673,-0.11337332,-0.41826674,-0.22578256
19,0.05133933,-1.1073263,0.5564772,0.56579137,-0.8718966,-0.27971208,0.78820133,1.2068983,0.34112543,-1.6548678,-0.62502134
20,0.4094434,-1.0214493,-0.6075598,-0.20736587,-0.6488489,-0.16787304,0.835801,0.3788519,-0.020444244,-0.5321263,-0.04431039
21,-0.27040705,-0.37969533,-1.3760967,0.30752486,0.30158183,-0.42278084,-0.6265121,0.14883903,-1.9417455,-0.20035484,-1.1331434
22,-0.41868755,-0.6035813,2.1213732,-1.2576538,-0.24445897,1.0493989,0.67636335,-0.40319186,2.406817,-2.4687228,0.39122283
23,-0.2732024,0.09110278,-1.1915373,0.16579223,0.44591492,0.33608764,-1.02408,-0.08117385,-1.0696445,-0.08282004,-0.9516712
24,0.4625641,0.051457237,-0.5387399,0.010378189,-0.005615119,0.60035044,-1.8427938,0.10283646,-0.73755443,0.26607904,-0.33466586
25,-0.1808742,-0.607643,-1.5614815,-0.22238688,0.05773583,-0.051149294,-0.7888604,-0.08117385,-1.7829957,-0.34026018,-1.0605545
26,0.3030932,0.28952864,-0.7495067,0.34884918,0.38027468,0.25689802,-1.0724151,0.14883903,-0.3297119,0.28909215,-0.80649346
27,-0.3795164,-0.9973432,-0.27283233,0.6491395,0.09979957,1.3056943,0.53024256,0.65486735,0.19097924,-0.038505137,-0.11689926
28,-1.2020657,-0.10347897,1.2023499,1.3094239,0.1764859,0.3793267,0.9631174,0.97688544,0.07504895,-0.09131837,0.20975065
29,0.4933312,-0.36865634,-0.27642196,0.4796391,0.61028755,1.1984836,-0.8050689,-0.08117385,1.6238747,0.4823333,-0.1531937
30,-0.0018176734,-1.5418701,-2.2524743,-0.2471234,-0.24584869,0.40258163,0.077260494,0.010831296,-0.5460295,0.27706382,-1.1331434
31,-0.06337434,-1.095004,-0.5727725,-0.14130506,-0.26657152,0.1518599,0.86211026,0.28684676,-0.24669889,-0.20424639,-0.11689926
